"UrbanRuralDesi","Tot_ED_NmbVsts","EDDXCount","LATITUDE","LONGITUDE","MentalHealthShortageArea"
"Rural",33711,2520,36.06948,-119.02727,"Yes"
"Rural",30394,820,36.2210166,-119.3385341,"Yes"
"Rural",31058,1588,37.97568,-120.369,"Yes"
"Urban",44981,3371,34.27693,-119.25384,"No"
"Urban",42642,2369,34.20762,-118.882411,"No"
"Rural",8161,1186,34.44221,-119.26311,"No"
"Urban",23191,1781,34.24177,-119.018,"No"
"Urban",47691,3934,34.21687,-119.15819,"Yes"
"Urban",29488,1606,38.56289,-121.77164,"Yes"
"Rural",63625,5495,39.138805,-121.593602,"Yes"
